Round,Pick,Team
1,1,TEN
1,2,CLE
1,3,NYG
1,4,NE
1,5,JAX
1,6,LV
1,7,NYJ
1,8,CAR
1,9,NO
1,10,CHI
1,11,SF
1,12,DAL
1,13,MIA
1,14,IND
1,15,ATL
1,16,ARI
1,17,CIN
1,18,SEA
1,19,TB
1,20,DEN
1,21,PIT
1,22,LAC
1,23,GB
1,24,MIN
1,25,HOU
1,26,LAR
1,27,BAL
1,28,DET
1,29,WAS
1,30,BUF
1,31,KC
1,32,PHI
2,33,CLE
2,34,NYG
2,35,TEN
2,36,JAX
2,37,LV
2,38,NE
2,39,CHI (via CAR)
2,40,NO
2,41,CHI
2,42,NYJ
2,43,SF
2,44,DAL
2,45,IND
2,46,ATL
2,47,ARI
2,48,MIA
2,49,CIN
2,50,SEA
2,51,DEN
2,52,SEA (via PIT)
2,53,TB
2,54,GB
2,55,LAC
2,56,BUF (via MIN)
2,57,CAR (via LAR)
2,58,HOU
2,59,BAL
2,60,DET
2,61,WAS
2,62,BUF
2,63,KC
2,64,PHI
3,65,NYG
3,66,KC (via TEN)
3,67,CLE
3,68,LV
3,69,NE
3,70,JAX
3,71,NO
3,72,CHI
3,73,NYJ
3,74,CAR
3,75,SF
3,76,DAL
3,77,NE (via ATL)
3,78,ARI
3,79,HOU (via MIA)
3,80,IND
3,81,CIN
3,82,SEA
3,83,PIT
3,84,TB
3,85,DEN
3,86,LAC
3,87,GB
3,88,JAX (via MIN)
3,89,HOU
3,90,LAR
3,91,BAL
3,92,SEA (via DET)
3,93,NO (via WAS)
3,94,CLE (via BUF)
3,95,KC
3,96,PHI
3,97,MIN
3,98,MIA
3,99,NYG
3,100,SF
3,101,LAR
3,102,DET
4,103,TEN
4,104,CLE
4,105,NYG
4,106,NE
4,107,JAX
4,108,LV
4,109,BUF (via CHI)
4,110,NYJ
4,111,CAR
4,112,NO
4,113,SF
4,114,CAR (via DAL)
4,115,ARI
4,116,MIA
4,117,IND
4,118,ATL
4,119,CIN
4,120,TEN (via SEA)
4,121,TB
4,122,DEN
4,123,PIT
4,124,GB
4,125,LAC
4,126,JAX (via MIN)
4,127,LAR
4,128,WAS (via HOU)
4,129,BAL
4,130,DET
4,131,NO (via WAS)
4,132,BUF
4,133,KC
4,134,PHI
4,135,MIA
4,136,BAL
4,137,SEA
4,138,SF
5,139,MIN (via CLE)
5,140,CAR (via NYG)
5,141,TEN
5,142,JAX
5,143,LV
5,144,NE
5,145,NYJ
5,146,CAR
5,147,SF (via NO)
5,148,CHI
5,149,DAL
5,150,MIA
5,151,IND
5,152,ARI
5,153,CIN
5,154,NYG (via SEA)
5,155,MIA (via DEN)
5,156,PIT
5,157,TB
5,158,LAC
5,159,GB
5,160,SF (via MIN)
5,161,PHI (via HOU)
5,162,NYJ (via LAR)
5,163,CAR (via BAL)
5,164,PHI (via DET)
5,165,PHI (via WAS)
5,166,HOU (via BUF)
5,167,TEN (via KC)
5,168,PHI
5,169,BUF
5,170,BUF (via DAL)
5,171,DAL
5,172,SEA
5,173,BUF
5,174,DAL
5,175,SEA
5,176,BAL
6,177,BUF (via NYG)
6,178,TEN
6,179,CLE
6,180,LV
6,181,LAC (via NE)
6,182,JAX
6,183,BAL (via CAR)
6,184,NO
6,185,PIT (via CHI)
6,186,NYJ
6,187,MIN (via SF)
6,188,DAL
6,189,IND
6,190,LAR (via ATL)
6,191,DEN (via ARI)
6,192,CLE (via MIA)
6,193,CIN
6,194,JAX (via SEA)
6,195,LAR (via PIT)
6,196,DET (via TB)
6,197,DEN
6,198,GB
6,199,LAC
6,200,CLE (via MIN)
6,201,LAR
6,202,LAR (via HOU)
6,203,BAL
6,204,DAL (via DET)
6,205,WAS
6,206,BUF
6,207,NYJ (via KC)
6,208,DEN (via PHI)
6,209,LAC
6,210,BAL
6,211,DAL
6,212,BAL
6,213,LV
6,214,LAC
6,215,LV
6,216,CLE
7,217,NE (via TEN)
7,218,ATL (via CLE)
7,219,NYG
7,220,NE
7,221,JAX
7,222,LV
7,223,SEA (via NO)
7,224,MIA (via CHI)
7,225,ARI (via NYJ)
7,226,KC (via CAR)
7,227,SF
7,228,DET (via DAL)
7,229,PIT (via ATL)
7,230,CAR (via ARI)
7,231,MIA
7,232,IND
7,233,CHI (via CIN)
7,234,SEA
7,235,TB
7,236,HOU (via DEN)
7,237,GB (via PIT)
7,238,NE (via LAC)
7,239,TEN (via GB)
7,240,CHI (via MIN)
7,241,HOU
7,242,ATL (via LAR)
7,243,BAL
7,244,DET
7,245,WAS
7,246,NYG (via BUF)
7,247,DAL (via KC)
7,248,NO (via PHI)
7,249,SF
7,250,GB
7,251,KC
7,252,SF
7,253,MIA
7,254,NO
7,255,CLE
7,256,LAC
7,257,KC
