Rank,Name,Position
1,Abdul Carter,EDGE
2,Cameron Ward,QB
3,Travis Hunter,CB
4,Mason Graham,DT
5,Will Campbell,OT
6,Ashton Jeanty,RB
7,Armand Membou,OT
8,Will Johnson,CB
9,Shedeur Sanders,QB
10,Tetairoa McMillan,WR
11,Shemar Stewart,EDGE
12,Tyler Warren,TE
13,Kelvin Banks Jr.,OT
14,Jalon Walker,LB
15,Malaki Starks,S
16,Mykel Williams,EDGE
17,Matthew Golden,WR
18,Colston Loveland,TE
19,James Pearce Jr.,EDGE
20,Derrick Harmon,DT
21,Nick Emmanwori,S
22,Tyler Booker,OG
23,Jihaad Campbell,LB
24,Jahdae Barron,CB
25,Josh Simmons,OT
26,Nic Scourton,EDGE
27,Emeka Egbuka,WR
28,Luther Burden III,WR
29,Tyleik Williams,DT
30,Grey Zabel,OG
31,Walter Nolen,DT
32,Shavon Revel,CB
33,Donovan Ezeiruaku,EDGE
34,Kenneth Grant,DT
35,Omarion Hampton,RB
36,Donovan Jackson,OG
37,Mike Green,EDGE
38,Xavier Watts,S
39,Benjamin Morrison,CB
40,Jaxson Dart,QB
41,Aireontae Ersery,OT
42,Cameron Williams,OT
43,Tre Harris,WR
44,Mason Taylor,TE
45,Jalen Milroe,QB
46,Josh Conerly Jr.,OT
47,Carson Schwesinger,LB
48,Trey Amos,CB
49,TreVeyon Henderson,RB
50,Jaylin Noel,WR
51,Jonah Savaiinaea,OT
52,Wyatt Milum,OG
53,Landon Jackson,EDGE
54,Deone Walker,DT
55,Kaleb Johnson,RB
56,J.T. Tuimoloau,EDGE
57,Azareye'h Thomas,CB
58,Quinshon Judkins,RB
59,Jalen Royals,WR
60,Maxwell Hairston,CB
61,Princely Umanmielen,EDGE
62,Marcus Mbow,OT
63,Isaiah Bond,WR
64,Tate Ratledge,OG
65,T.J. Sanders,DT
66,Jayden Higgins,WR
67,Bradyn Swinson,EDGE
68,Darius Alexander,DT
69,Darien Porter,CB
70,Emery Jones,OT
71,Andrew Mukuba,S
72,Alfred Collins,DT
73,Harold Fannin Jr.,TE
74,Jared Wilson,OC
75,Jack Bech,WR
76,Kyle Kennard,EDGE
77,Kevin Winston Jr.,S
78,Denzel Burke,CB
79,Barrett Carter,LB
80,Elic Ayomanor,WR
81,Chris Paul Jr.,LB
82,Omarr Norman-Lott,DT
83,Jared Ivey,EDGE
84,Shemar Turner,DT
85,Lathan Ransom,S
86,Ashton Gillotte,EDGE
87,Josaiah Stewart,EDGE
88,Gunnar Helm,TE
89,Hollin Pierce,OT
90,Kyle Williams,WR
91,DJ Giddens,RB
92,Elijah Arroyo,TE
93,Cameron Skattebo,RB
94,Tez Johnson,WR
95,Jordan Burch,EDGE
96,Dorian Strong,CB
97,Terrance Ferguson,TE
98,Dylan Fairchild,OG
99,Tyler Shough,QB
100,Tory Horton,WR
101,Ajani Cornelius,OT
102,Anthony Belton,OT
103,Joshua Farmer,DT
104,Billy Bowman,S
105,Zy Alexander,CB
106,Xavier Restrepo,WR
107,Jonas Sanker,S
108,Ozzy Trapilo,OT
109,Will Howard,QB
110,Oluwafemi Oladejo,EDGE
111,Bhayshul Tuten,RB
112,Savion Williams,WR
113,CJ West,DT
114,Smael Mondon Jr.,LB
115,Cobee Bryant,CB
116,Tyler Baron,EDGE
117,Jordan Hancock,CB
118,Tai Felton,WR
119,Logan Brown,OT
120,Quincy Riley,CB
121,Oronde Gadsden II,TE
122,Jaylen Reed,S
123,Damien Martinez,RB
124,Dont'e Thornton,WR
125,Quinn Ewers,QB
126,Howard Cross III,DT
127,David Walker,EDGE
128,Ollie Gordon II,RB
129,Jordan Phillips,DT
130,Jackson Slater,OG
131,Chase Lundt,OT
132,Pat Bryant,WR
133,Antwaun Powell-Ryland,EDGE
134,Jacob Parrish,CB
135,Danny Stutsman,LB
136,Demetrius Knight Jr.,LB
137,Dylan Sampson,RB
138,Charles Grant,OT
139,Jamaree Caldwell,DT
140,RJ Mickens,S
141,Fadil Diggs,EDGE
142,Jake Briningstool,TE
143,Sai'vion Jones,EDGE
144,Jeffrey Bassa,LB
145,Malachi Moore,S
146,RJ Harvey,RB
147,Trey Wedig,OT
148,J.J. Pegues,DT
149,Garrett Dellinger,OG
150,Isaac TeSlaa,WR
151,Rylie Mills,DT
152,Dillon Gabriel,QB
153,Kaimon Rucker,EDGE
154,Devin Neal,RB
155,Riley Leonard,QB
156,Luke Kandra,OG
157,Tommi Hill,CB
158,Kyle Monangai,RB
159,Seth McLaughlin,OC
160,Elijah Roberts,DT
161,Jalen Rivers,OT
162,Sebastian Castro,S
163,Jaylin Lane,WR
164,Jonah Monheim,OC
165,Kyle McCord,QB
166,Jack Kiser,LB
167,Miles Frazier,OG
168,Jabbar Muhammad,CB
169,Simeon Barrow,DT
170,Brashard Smith,RB
171,Jake Majors,OC
172,Teddye Buchanan,LB
173,Nick Nash,WR
174,Aeneas Peebles,DT
175,Jack Nelson,OT
176,Jamon Dumas-Johnson,LB
177,Kitan Crawford,S
178,Ty Robinson,DT
179,Corey Kiner,RB
180,Mitchell Evans,TE
181,Jay Higgins,LB
182,Cam Jackson,DT
183,Clay Webb,OG
184,Jack Sawyer,EDGE
